,sample number,brine evap (m3/t LCE),brine dle (m3/t LCE),hr (m3/t LCE),csc (m3/t LCE),ofb (m3/t LCE)
0,1,308.8199446101757,453.8355135521744,44.56552765994218,101.8198214835311,103.15918758706215
1,2,332.3752516001409,423.49577163169647,77.20187659532515,161.17429599076462,25.362378059869442
2,3,228.7562542076688,385.8278902046178,73.98673049464895,190.8266515625479,90.78178306664971
3,4,296.65504340700454,140.24470007716036,59.79052059337058,97.2516225881622,52.10327008252154
4,5,114.68474873616783,411.2443782489204,76.70112045870377,76.64653961528467,102.10384162096696
5,6,361.0850762636919,341.7422977109513,52.03418059416571,93.49292596811605,77.33679575951513
6,7,356.13551986185007,124.85802466323253,39.86213365838021,120.96384656131441,59.76435165074166
7,8,132.31334108114285,466.4675606962393,40.82623551554869,176.06718757778202,90.3763197168952
8,9,149.83772379242748,167.21600246399075,53.682883889473615,162.97673728111494,103.2710494261936
9,10,112.63865077632636,180.61350795598796,27.02592809980658,171.85296601412088,77.0039081626718
10,11,330.9829368833814,156.40676969158488,38.48159949417126,108.85755324772595,58.88289036252466
11,12,166.99802791982864,201.54293580510088,46.31181850403492,115.079648387314,45.17119588509172
12,13,129.17907230046418,450.88680923598844,46.79405846968183,118.96748228956432,72.57542256119805
13,14,416.8292329161194,181.32216379129372,56.13785835072482,169.35572124633595,62.797809746769715
14,15,94.18873000951095,206.03056812167378,91.54588499318557,174.31240215776518,100.88966693558046
15,16,356.2264255668106,413.5199896480097,83.32660262619619,60.98659863890654,69.34784427132668
16,17,158.70717358181304,365.6689014941035,92.0804491265286,132.46274786926455,62.63429149398782
17,18,194.97004805241005,603.8461150576383,64.90902305464968,138.51679949674593,76.161080318704
18,19,377.4841313169177,345.15056595925336,40.388658927519,119.53619675183963,40.11828447182576
19,20,31.144875212917412,386.9038426342817,64.69111515682448,113.93206133710952,24.47823832520167
20,21,245.69983379709922,85.8348265099274,40.73638561782578,119.50698327484105,96.62846177833471
21,22,177.95036646956396,222.40846693550174,31.67380796827046,116.16703222261935,103.49559126199446
22,23,247.24100782003921,205.68644179047178,61.66951972560033,135.8189565564291,96.32653648804296
23,24,218.22199968752292,283.6640862845026,29.91798388379265,107.39938967972579,44.03131598385484
24,25,310.3774800586302,282.77172707949813,45.08218730353133,101.15110373364956,60.92617301134419
25,26,147.04209123300274,539.15773810255,40.52192272953031,111.57818411022245,82.18761518341104
26,27,250.71208167478073,327.75361612480174,18.24186566906015,123.637454615397,62.895396080510665
27,28,130.8198871287658,363.0451800949564,68.08975230210635,116.63232335088841,84.91428617037963
28,29,64.74874493170906,211.0111693618427,23.875480841178337,89.59077399205984,102.59944926780369
